"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"The leadership view is the Overview page once categories, history, severity and environment exist.","3","executiveViewNeedsFourSignals()","","2026-07-10","passed","2026-07-10","","org.reporting.ReportingInsightsTest","org.reporting.ReportingInsightsTest","executiveViewNeedsFourSignals"
"Unexpected IndexOutOfBoundsException should appear as Broken.","5","brokenIndexOutOfBoundsTest()","","2026-07-10","broken","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","brokenIndexOutOfBoundsTest"
"Environment metadata answers which browser, base URL and build produced the report.","3","environmentTemplateCarriesRunContext()","","2026-07-10","passed","2026-07-10","","org.reporting.ReportingInsightsTest","org.reporting.ReportingInsightsTest","environmentTemplateCarriesRunContext"
"Fails with connection reset message so it matches the Flaky category.","25","flakyConnectionResetTest()","","2026-07-10","broken","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","flakyConnectionResetTest"
"Categories split flaky, test and product failures so each bucket has an owner.","4","categoriesPutSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-10","passed","2026-07-10","","org.reporting.ReportingInsightsTest","org.reporting.ReportingInsightsTest","categoriesPutSpecificFlakyRuleBeforeGenericBuckets"
"Intentional assertion failure representing a product defect.","9","productFailureLoginTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","productFailureLoginTest"
"Simple passing test.","5","passingTestTwo()","","2026-07-10","passed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","passingTestTwo"
"Intentional assertion failure representing a product defect.","8","productFailurePriceCalculationTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","productFailurePriceCalculationTest"
"","0","skippedTestTwo()","","2026-07-10","skipped","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","skippedTestTwo"
"Simple passing test.","7","passingTestOne()","","2026-07-10","passed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","passingTestOne"
"Unexpected ArithmeticException should appear as Broken.","3","brokenArithmeticTest()","","2026-07-10","broken","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","brokenArithmeticTest"
"Simple passing test.","3","passingTestThree()","","2026-07-10","passed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","passingTestThree"
"","0","skippedTestOne()","","2026-07-10","skipped","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","skippedTestOne"
"Unexpected NullPointerException should appear as Broken.","4","brokenNullPointerTest()","","2026-07-10","broken","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","brokenNullPointerTest"
"Fails with timeout message so it matches the Flaky category.","3","falckyTimeoutTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","falckyTimeoutTest"
"","4","flakyTimeoutTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","flakyTimeoutTest"
"Fails with stale element message so it matches the Flaky category.","5","flakyStaleElementTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","flakyStaleElementTest"
"Intentional assertion failure representing a product defect.","7","productFailureCheckoutTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","productFailureCheckoutTest"
