"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Fails with stale element message so it matches the Flaky category.","5","flakyStaleElementTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","flakyStaleElementTest"
"Environment metadata answers which browser, base URL and build produced the report.","5","environmentTemplateCarriesRunContext()","","2026-07-10","passed","2026-07-10","","org.reporting.ReportingInsightsTest","org.reporting.ReportingInsightsTest","environmentTemplateCarriesRunContext"
"Intentional assertion failure representing a product defect.","5","productFailureLoginTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","productFailureLoginTest"
"The leadership view is the Overview page once categories, history, severity and environment exist.","2","executiveViewNeedsFourSignals()","","2026-07-10","passed","2026-07-10","","org.reporting.ReportingInsightsTest","org.reporting.ReportingInsightsTest","executiveViewNeedsFourSignals"
"Unexpected ArithmeticException should appear as Broken.","3","brokenArithmeticTest()","","2026-07-10","broken","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","brokenArithmeticTest"
"Fails with connection reset message so it matches the Flaky category.","23","flakyConnectionResetTest()","","2026-07-10","broken","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","flakyConnectionResetTest"
"Simple passing test.","2","passingTestOne()","","2026-07-10","passed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","passingTestOne"
"Fails with timeout message so it matches the Flaky category.","2","falckyTimeoutTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","falckyTimeoutTest"
"Categories split flaky, test and product failures so each bucket has an owner.","4","categoriesPutSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-10","passed","2026-07-10","","org.reporting.ReportingInsightsTest","org.reporting.ReportingInsightsTest","categoriesPutSpecificFlakyRuleBeforeGenericBuckets"
"Simple passing test.","6","passingTestThree()","","2026-07-10","passed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","passingTestThree"
"Unexpected NullPointerException should appear as Broken.","4","brokenNullPointerTest()","","2026-07-10","broken","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","brokenNullPointerTest"
"Simple passing test.","2","passingTestTwo()","","2026-07-10","passed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","passingTestTwo"
"Intentional assertion failure representing a product defect.","4","productFailureCheckoutTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","productFailureCheckoutTest"
"Unexpected IndexOutOfBoundsException should appear as Broken.","5","brokenIndexOutOfBoundsTest()","","2026-07-10","broken","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","brokenIndexOutOfBoundsTest"
"Intentional assertion failure representing a product defect.","5","productFailurePriceCalculationTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","productFailurePriceCalculationTest"
