"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Fails with connection reset message so it matches the Flaky category.","22","flakyConnectionResetTest()","","2026-07-10","broken","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","flakyConnectionResetTest"
"Unexpected ArithmeticException should appear as Broken.","2","brokenArithmeticTest()","","2026-07-10","broken","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","brokenArithmeticTest"
"","0","skippedTestTwo()","","2026-07-10","skipped","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","skippedTestTwo"
"Simple passing test.","1","passingTestTwo()","","2026-07-10","passed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","passingTestTwo"
"","6","flakyTimeoutTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","flakyTimeoutTest"
"","0","skippedTestOne()","","2026-07-10","skipped","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","skippedTestOne"
"Environment metadata answers which browser, base URL and build produced the report.","3","environmentTemplateCarriesRunContext()","","2026-07-10","passed","2026-07-10","","org.reporting.ReportingInsightsTest","org.reporting.ReportingInsightsTest","environmentTemplateCarriesRunContext"
"Simple passing test.","4","passingTestThree()","","2026-07-10","passed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","passingTestThree"
"Unexpected IndexOutOfBoundsException should appear as Broken.","4","brokenIndexOutOfBoundsTest()","","2026-07-10","broken","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","brokenIndexOutOfBoundsTest"
"Simple passing test.","1","passingTestOne()","","2026-07-10","passed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","passingTestOne"
"Categories split flaky, test and product failures so each bucket has an owner.","5","categoriesPutSpecificFlakyRuleBeforeGenericBuckets()","","2026-07-10","passed","2026-07-10","","org.reporting.ReportingInsightsTest","org.reporting.ReportingInsightsTest","categoriesPutSpecificFlakyRuleBeforeGenericBuckets"
"Intentional assertion failure representing a product defect.","1","productFailurePriceCalculationTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","productFailurePriceCalculationTest"
"The leadership view is the Overview page once categories, history, severity and environment exist.","2","executiveViewNeedsFourSignals()","","2026-07-10","passed","2026-07-10","","org.reporting.ReportingInsightsTest","org.reporting.ReportingInsightsTest","executiveViewNeedsFourSignals"
"Fails with stale element message so it matches the Flaky category.","6","flakyStaleElementTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","flakyStaleElementTest"
"Intentional assertion failure representing a product defect.","4","productFailureLoginTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","productFailureLoginTest"
"Intentional assertion failure representing a product defect.","2","productFailureCheckoutTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","productFailureCheckoutTest"
"Fails with timeout message so it matches the Flaky category.","1","falckyTimeoutTest()","","2026-07-10","failed","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","falckyTimeoutTest"
"Unexpected NullPointerException should appear as Broken.","2","brokenNullPointerTest()","","2026-07-10","broken","2026-07-10","","org.reporting.CategoryDemoTest","org.reporting.CategoryDemoTest","brokenNullPointerTest"
